filename,alignment_length,max_zeroes,mean_zeroes,variance_zeroes,count_76_zero_blocks,num_perfect_matches,max_dist_between_matches,normalized_perfect_match_rate,min_percent_identity,max_percent_identity,avg_percent_identity,num_variable_regions,max_variable_region_length,mean_variable_region_length
GC_00002574_aligned.fasta,1128,80,76.99729486023445,2.9026076506588847,184,67,238,0.0604,90.96,100.0,96.55,6,484,157.83333333333334
GC_00000481_aligned.fasta,510,80,79.30753564154786,0.7995155155321241,0,264,60,0.5377,96.86,100.0,99.57,7,40,13.428571428571429
GC_00002499_aligned.fasta,1023,80,74.93625498007968,19.42621545689751,227,31,126,0.0309,87.81,100.0,93.46,3,744,311.6666666666667
GC_00000853_aligned.fasta,321,80,78.4271523178808,1.8870773211701244,45,82,112,0.2715,94.39,100.0,99.0,5,92,28.8
GC_00000903_aligned.fasta,1092,80,76.3578751164958,3.957666314320234,212,48,840,0.0447,90.66,100.0,95.52,7,820,132.85714285714286
GC_00002728_aligned.fasta,1620,80,73.71892567145534,16.916624954500257,235,1,0,0.0006,81.52,100.0,94.62,2,1479,800.0
GC_00002678_aligned.fasta,1248,80,76.5825874694874,9.556442125180657,183,89,402,0.0724,91.22,100.0,96.39,9,382,107.66666666666667
GC_00002549_aligned.fasta,2406,80,76.78257226644324,3.276981569452886,408,112,684,0.0469,91.4,100.0,95.82,13,664,157.46153846153845
GC_00002419_aligned.fasta,981,80,75.58731808731808,5.481460790712351,179,41,116,0.0426,86.14,100.0,96.52,5,637,172.8
GC_00000983_aligned.fasta,219,80,77.66,4.7943999999999996,16,45,21,0.225,93.61,100.0,97.58,2,135,68.0
GC_00002081_aligned.fasta,462,80,73.22573363431151,46.9467869899974,71,4,339,0.009,88.28,100.0,97.01,3,319,140.0
GC_00002645_aligned.fasta,864,80,76.03076923076924,7.464142011834318,174,26,186,0.0308,89.05,100.0,96.23,6,270,123.83333333333333
GC_00000551_aligned.fasta,222,80,77.64532019704434,2.2978475575723745,23,13,141,0.064,91.89,100.0,98.16,3,121,50.666666666666664
GC_00002715_aligned.fasta,1410,80,75.0647016534867,7.1891997492352235,187,22,700,0.0158,82.84,100.0,95.85,6,680,215.5
GC_00002330_aligned.fasta,1221,80,75.22462562396007,9.15919391142328,165,76,705,0.0632,85.91,100.0,92.6,5,685,206.2
GC_00002260_aligned.fasta,765,80,76.24664879356568,4.411014238584335,118,9,603,0.0121,90.33,100.0,94.6,3,583,233.0
GC_00001849_aligned.fasta,867,80,77.62382075471699,4.229951439569241,103,197,60,0.2323,92.85,100.0,97.87,5,496,115.0
GC_00001919_aligned.fasta,399,80,76.0078947368421,5.528885041551248,67,18,60,0.0474,88.13,100.0,95.85,3,252,114.33333333333333
GC_00001797_aligned.fasta,1005,80,75.06795131845841,7.9091757217680385,174,11,321,0.0112,85.3,100.0,93.94,3,535,318.6666666666667
GC_00001576_aligned.fasta,933,80,75.80743982494529,2.7484785658537985,241,14,255,0.0153,83.55,100.0,96.2,3,552,293.6666666666667
GC_00001426_aligned.fasta,372,80,78.07365439093485,2.566812991035961,19,80,69,0.2266,93.28,100.0,98.6,5,49,35.6
GC_00001003_aligned.fasta,501,80,77.21991701244814,3.4163667980923194,61,32,321,0.0664,90.02,100.0,97.83,4,301,93.5
GC_00001153_aligned.fasta,591,80,78.53146853146853,2.542716025233508,25,172,73,0.3007,95.26,100.0,98.86,10,53,21.0
GC_00001318_aligned.fasta,732,80,78.5413744740533,1.7658197096990573,36,241,162,0.338,94.95,100.0,98.91,6,142,59.666666666666664
GC_00001248_aligned.fasta,462,80,78.11512415349887,3.6413739687845545,20,118,165,0.2664,93.07,100.0,98.61,6,145,38.333333333333336
GC_00001780_aligned.fasta,606,80,77.01703577512777,4.558483206556597,60,58,306,0.0988,90.59,100.0,97.31,6,286,72.33333333333333
GC_00001561_aligned.fasta,783,80,75.10732984293193,4.245024807434007,142,3,1,0.0039,82.89,100.0,96.07,1,761,761.0
GC_00001431_aligned.fasta,633,80,75.79804560260587,6.408725822024636,97,10,243,0.0163,87.2,100.0,95.46,5,223,109.4
GC_00001014_aligned.fasta,1779,80,77.95738636363636,2.852161350723141,147,276,129,0.1568,92.27,100.0,98.09,29,109,32.827586206896555
GC_00001144_aligned.fasta,1769,80,74.93714285714286,27.83033469387755,151,362,959,0.2069,83.34,100.0,96.21,11,939,107.18181818181819
GC_00000929_aligned.fasta,579,80,77.39285714285714,2.7278061224489796,86,68,126,0.1214,91.02,100.0,95.84,5,106,79.4
GC_00002096_aligned.fasta,942,80,75.43553629469122,18.46469600166211,118,45,366,0.0488,88.77,100.0,95.39,7,346,111.85714285714286
GC_00000879_aligned.fasta,1554,80,77.65472312703584,2.984366942885336,231,217,231,0.1414,91.38,100.0,98.16,20,211,46.9
GC_00002652_aligned.fasta,2226,80,73.40598096964204,18.619955165926925,290,10,444,0.0045,84.85,100.0,91.67,5,1158,428.0
GC_00002702_aligned.fasta,2439,80,77.16198347107438,3.396075404685473,310,206,360,0.0851,92.54,100.0,96.91,16,340,120.5625
GC_00000546_aligned.fasta,549,80,78.49811320754716,2.3481096475614094,33,165,95,0.3113,93.62,100.0,98.93,8,75,29.0
GC_00002327_aligned.fasta,786,80,76.58148631029987,5.531495574454053,142,37,411,0.0482,88.68,100.0,96.6,7,391,90.71428571428571
GC_00002277_aligned.fasta,582,80,76.01243339253996,4.996293012881385,98,12,345,0.0213,86.94,100.0,94.48,3,325,177.33333333333334
GC_00000994_aligned.fasta,729,80,76.69295774647887,3.063471533425908,115,34,564,0.0479,89.44,100.0,96.54,4,544,154.75
GC_00000789_aligned.fasta,978,80,78.79874869655892,1.1054833143231184,28,276,60,0.2878,96.42,100.0,98.71,20,40,16.1
GC_00000907_aligned.fasta,915,80,76.13392857142857,7.720902423469388,134,106,584,0.1183,87.65,100.0,96.72,6,564,115.83333333333333
GC_00000857_aligned.fasta,636,80,76.20907617504052,5.082705305380508,89,60,357,0.0972,89.47,100.0,95.22,5,337,100.0
GC_00002309_aligned.fasta,714,80,75.43309352517986,7.005235753842968,79,52,81,0.0748,83.68,100.0,96.65,5,454,113.4
GC_00002259_aligned.fasta,456,80,75.37070938215103,5.116579130644241,71,6,176,0.0137,88.16,100.0,93.21,3,247,137.33333333333334
GC_00000568_aligned.fasta,393,80,79.62566844919786,0.6459721467585576,2,293,39,0.7834,98.73,100.0,99.77,3,19,8.0
GC_00002005_aligned.fasta,1581,80,74.56914212548016,4.895667509889977,250,10,1,0.0064,81.85,100.0,95.3,2,1524,776.0
GC_00002155_aligned.fasta,735,80,75.73882681564245,5.698548344308854,147,32,499,0.0447,90.48,100.0,93.62,3,479,215.33333333333334
GC_00000734_aligned.fasta,504,79,74.7298969072165,3.6528175151450735,67,0,0,0.0,78.77,100.0,95.82,1,504,504.0
GC_00002570_aligned.fasta,1281,80,75.99524564183835,4.110912419850262,252,31,607,0.0246,85.71,100.0,96.79,5,587,231.0
GC_00000664_aligned.fasta,360,80,78.53372434017595,2.7180708800233915,20,129,120,0.3783,95.28,100.0,98.56,4,100,34.0
GC_00002420_aligned.fasta,870,80,72.79083431257344,9.145438904392567,71,1,0,0.0012,79.06,100.0,92.07,1,850,850.0
GC_00000485_aligned.fasta,372,80,77.73371104815864,4.552319655883605,31,85,180,0.2408,93.28,100.0,97.36,3,160,70.33333333333333
GC_00001336_aligned.fasta,879,80,78.16279069767442,1.9711736073553272,90,173,144,0.2012,94.31,100.0,97.28,9,124,57.333333333333336
GC_00001266_aligned.fasta,525,80,76.76086956521739,3.336097267571747,96,47,175,0.0929,88.95,100.0,97.54,5,155,80.4
GC_00001643_aligned.fasta,942,80,75.93716143011918,3.7186948677648024,170,30,884,0.0325,88.54,100.0,94.19,2,864,437.0
GC_00001713_aligned.fasta,1572,80,75.21120412105601,10.06614619980272,186,37,966,0.0238,86.45,100.0,95.97,6,946,240.0
GC_00001087_aligned.fasta,1455,80,75.0041782729805,4.759035466825987,244,21,702,0.0146,85.09,100.0,95.66,4,682,339.5
GC_00001870_aligned.fasta,756,80,76.83175033921303,3.643333842689844,132,79,313,0.1072,88.49,100.0,97.48,5,293,116.4
GC_00001920_aligned.fasta,1026,78,72.28003972194638,7.063583712424155,56,0,0,0.0,75.73,100.0,90.31,1,1026,1026.0
GC_00001937_aligned.fasta,624,80,76.23305785123966,5.444857591694556,85,29,171,0.0479,89.42,100.0,96.76,5,193,100.0
GC_00001558_aligned.fasta,2727,80,78.21270310192024,2.0529848645841744,158,594,207,0.2194,94.39,100.0,98.34,31,187,49.806451612903224
GC_00001408_aligned.fasta,1287,80,76.15851735015772,4.4046829752510215,249,29,462,0.0229,87.46,100.0,95.56,8,442,140.625
GC_00001321_aligned.fasta,495,80,75.97689075630252,13.396524786385138,17,90,57,0.1891,82.11,100.0,95.6,6,241,48.5
GC_00001271_aligned.fasta,1971,80,77.03688524590164,4.349049314700349,228,99,390,0.0507,90.87,100.0,97.38,19,370,79.52631578947368
GC_00001654_aligned.fasta,729,79,74.05492957746479,5.054729220392779,82,0,0,0.0,78.79,100.0,95.52,1,729,729.0
GC_00001704_aligned.fasta,624,80,76.79338842975207,6.028386039204972,70,93,156,0.1537,89.58,100.0,96.09,6,136,69.5
GC_00001090_aligned.fasta,1623,80,78.94638403990025,2.3811652290719585,25,740,92,0.4613,96.49,100.0,99.07,23,72,19.391304347826086
GC_00002012_aligned.fasta,750,80,76.03967168262653,6.177632723945049,108,15,354,0.0205,88.8,100.0,94.29,5,334,131.8
GC_00002142_aligned.fasta,1014,80,78.39195979899498,2.1659655059215677,90,289,99,0.2905,94.48,100.0,98.49,17,79,24.764705882352942
GC_00002567_aligned.fasta,828,80,75.12855377008653,8.735019045625465,153,2,567,0.0025,89.37,100.0,93.31,3,547,262.6666666666667
GC_00000723_aligned.fasta,195,80,79.31818181818181,1.171487603305785,3,118,59,0.6705,96.92,100.0,99.33,1,39,39.0
GC_00002437_aligned.fasta,1827,80,74.71570796460178,10.444620516485237,255,14,504,0.0077,87.64,100.0,93.37,6,484,286.3333333333333
GC_00000673_aligned.fasta,678,80,77.17754172989378,2.6710586003071746,121,44,249,0.0668,91.89,100.0,97.37,6,229,83.5
GC_00000492_aligned.fasta,495,80,79.15756302521008,1.0655100275404277,12,226,90,0.4748,96.77,100.0,99.23,7,70,19.428571428571427
GC_00000910_aligned.fasta,333,80,64.68152866242038,72.6883849243377,1,42,21,0.1338,97.78,100.0,99.68,2,252,126.5
GC_00000840_aligned.fasta,537,80,77.34555984555985,1.2802022927505552,96,12,174,0.0232,89.76,100.0,97.39,4,232,117.0
GC_00000598_aligned.fasta,597,80,79.51557093425606,0.7099651584631411,8,395,42,0.6834,98.16,100.0,99.66,7,22,7.142857142857143
GC_00002048_aligned.fasta,1140,80,77.60749330954505,3.3820669546831597,143,179,274,0.1597,93.25,100.0,97.25,13,254,54.92307692307692
GC_00002118_aligned.fasta,996,80,75.75844421699078,5.063452236652841,222,43,83,0.044,85.84,100.0,96.77,2,852,457.5
GC_00000779_aligned.fasta,378,80,76.92479108635098,4.375959218193526,67,24,126,0.0669,88.98,100.0,96.99,4,181,74.25
GC_00000629_aligned.fasta,1410,80,78.53414809489576,2.8555916358680453,50,422,153,0.3034,95.6,100.0,98.82,22,133,25.90909090909091
GC_00002344_aligned.fasta,1848,80,75.2356478950246,4.084984011615306,331,8,1395,0.0044,83.6,100.0,93.83,3,1375,600.6666666666666
GC_00002214_aligned.fasta,957,80,73.69189765458422,7.859230727265289,71,25,21,0.0267,76.49,100.0,94.25,3,886,298.0
GC_00002631_aligned.fasta,630,80,76.0556464811784,3.627018035417241,112,8,150,0.0131,89.37,100.0,94.3,3,450,194.66666666666666
GC_00000475_aligned.fasta,726,80,78.0990099009901,2.2589381993361997,39,96,108,0.1358,93.11,100.0,98.07,12,88,33.5
GC_00002761_aligned.fasta,1263,80,76.54823151125402,4.299120666659773,207,53,312,0.0426,88.28,100.0,97.12,10,292,102.0
GC_00000525_aligned.fasta,255,80,78.38983050847457,1.2124389543234706,8,41,75,0.1737,94.12,100.0,98.68,3,55,46.0
GC_00002580_aligned.fasta,1101,80,71.0804066543438,35.45286933555646,78,47,1,0.0434,75.83,100.0,92.81,2,1029,517.5
GC_00000694_aligned.fasta,951,80,76.59871244635193,32.59004126066054,39,226,96,0.2425,94.11,100.0,98.6,13,127,36.76923076923077
GC_00001077_aligned.fasta,615,80,77.75,2.8787751677852347,87,121,234,0.203,92.36,100.0,98.27,5,214,79.8
GC_00001127_aligned.fasta,741,80,76.4584487534626,4.879852441279611,98,40,84,0.0554,89.34,100.0,97.05,4,478,156.25
GC_00001502_aligned.fasta,687,80,76.08383233532935,6.079798486858618,144,35,126,0.0524,89.18,100.0,96.32,4,412,148.75
GC_00001452_aligned.fasta,843,80,75.5873786407767,16.351588274106884,136,59,150,0.0716,89.39,100.0,96.0,5,508,141.6
GC_00001296_aligned.fasta,936,80,73.79171210468921,5.802853884400915,117,4,1,0.0044,77.56,100.0,95.44,2,516,456.5
GC_00001880_aligned.fasta,405,79,73.02590673575129,35.60554645762302,82,0,0,0.0,78.54,100.0,93.87,1,405,405.0
GC_00001897_aligned.fasta,474,80,76.6,3.2817582417582427,94,1,0,0.0022,87.76,100.0,97.29,2,339,227.0
GC_00001619_aligned.fasta,1785,80,76.4326160815402,8.253386927351803,317,149,696,0.0844,88.85,100.0,96.05,10,676,142.7
GC_00001749_aligned.fasta,1344,80,76.59094339622642,4.093804770380919,265,138,813,0.1042,88.39,100.0,97.13,6,793,182.0
GC_00001060_aligned.fasta,561,80,77.19557195571956,5.496806960689533,59,75,123,0.1384,92.47,100.0,98.02,6,103,58.833333333333336
GC_00001130_aligned.fasta,216,80,77.3502538071066,4.694581153856063,41,46,58,0.2335,90.28,100.0,98.3,2,94,66.0
GC_00001515_aligned.fasta,477,80,71.03056768558952,51.007799241051856,39,12,1,0.0262,79.74,100.0,92.57,2,409,223.0
GC_00001445_aligned.fasta,693,80,76.05489614243324,2.574137748857523,174,13,1,0.0193,84.99,100.0,97.11,2,649,330.5
GC_00001281_aligned.fasta,1881,80,76.54135338345864,5.241845214540109,254,137,674,0.0736,89.31,100.0,96.58,10,654,153.5
GC_00002353_aligned.fasta,870,80,75.72267920094006,6.1816125633629335,101,43,582,0.0505,87.82,100.0,95.18,4,562,187.75
GC_00002203_aligned.fasta,876,80,76.01750291715285,3.8888418392563677,184,14,57,0.0163,88.32,100.0,95.73,4,730,201.25
GC_00000462_aligned.fasta,429,80,79.65853658536585,0.29315883402736465,0,284,27,0.6927,98.37,100.0,99.71,6,7,2.0
GC_00002626_aligned.fasta,2043,80,76.39179841897233,3.808450520629912,390,86,936,0.0425,89.77,100.0,95.86,8,916,225.625
GC_00000532_aligned.fasta,495,80,78.44747899159664,2.0455608714073863,43,127,63,0.2668,94.75,100.0,98.84,9,43,21.88888888888889
GC_00002597_aligned.fasta,1467,80,75.36947513812154,12.886278177558683,239,13,345,0.009,88.01,100.0,96.29,5,537,275.6
GC_00000683_aligned.fasta,696,77,71.90989660265879,8.067213726384322,45,0,0,0.0,68.14,100.0,94.64,1,696,696.0
GC_00002608_aligned.fasta,1407,80,75.79610951008645,7.117650570140104,236,79,546,0.0569,87.56,100.0,94.79,6,619,202.33333333333334
GC_00002758_aligned.fasta,2253,80,76.68307967770815,10.618451392935256,205,207,183,0.0927,90.2,100.0,96.98,24,510,66.25
GC_00000973_aligned.fasta,1890,80,75.7712453233565,3.757398716406509,376,71,567,0.0379,87.14,100.0,96.17,7,562,240.85714285714286
GC_00000823_aligned.fasta,804,80,77.38471337579618,2.6035879751714064,94,53,114,0.0675,90.17,100.0,97.09,8,172,77.25
GC_00002290_aligned.fasta,897,80,75.08428246013668,6.894946580808527,122,27,21,0.0308,88.85,100.0,92.8,2,831,416.0
GC_00002504_aligned.fasta,2112,80,75.34782608695652,5.406967323791521,341,45,596,0.0215,85.04,100.0,95.92,7,576,276.2857142857143
GC_00000740_aligned.fasta,579,80,79.01964285714286,0.9835427295918369,4,222,93,0.3964,96.2,100.0,99.22,9,73,20.666666666666668
GC_00002454_aligned.fasta,660,79,74.58502340093604,6.832474609436796,89,0,0,0.0,85.61,100.0,93.28,1,660,660.0
GC_00000610_aligned.fasta,726,80,76.67751060820368,3.4660147364504086,111,53,1,0.075,87.6,100.0,97.09,1,654,654.0
GC_00002071_aligned.fasta,1077,80,73.02835538752363,43.534167616610866,136,22,771,0.0208,82.84,100.0,96.69,4,751,249.5
GC_00002121_aligned.fasta,1368,80,76.46627131208302,6.413428721052465,184,123,360,0.0912,88.52,100.0,95.96,8,340,136.625
GC_00001586_aligned.fasta,330,80,76.43729903536978,2.503303315722542,61,4,1,0.0129,86.67,100.0,95.82,2,274,153.5
GC_00001637_aligned.fasta,507,80,76.95081967213115,3.8869255576457937,74,28,117,0.0574,89.88,100.0,97.43,7,97,49.42857142857143
GC_00001767_aligned.fasta,1215,80,78.31103678929766,1.9801791926264807,37,241,108,0.2015,94.49,100.0,98.4,17,88,37.1764705882353
GC_00001342_aligned.fasta,186,79,71.72455089820359,26.5708343791459,12,0,0,0.0,75.16,100.0,95.79,1,186,186.0
GC_00001212_aligned.fasta,162,79,74.02097902097903,6.286273167392048,15,0,0,0.0,79.01,100.0,95.12,1,162,162.0
GC_00001804_aligned.fasta,318,79,75.55183946488295,4.541627051151554,38,0,0,0.0,84.13,100.0,94.99,1,318,318.0
GC_00001954_aligned.fasta,960,80,75.7375132837407,7.050123040471788,151,28,132,0.0298,88.49,100.0,95.65,5,472,171.2
GC_00001059_aligned.fasta,2250,80,76.1353653070372,4.230891832037098,438,90,599,0.0403,86.62,100.0,96.91,12,579,162.58333333333334
GC_00001109_aligned.fasta,495,80,78.26890756302521,1.4865122519596077,18,65,87,0.1366,94.14,100.0,98.4,8,67,37.125
GC_00001813_aligned.fasta,657,80,76.15203761755485,3.432997415512819,141,10,1,0.0157,89.35,100.0,94.74,1,628,628.0
GC_00001943_aligned.fasta,660,80,72.2355694227769,54.0053494807499,91,3,230,0.0047,87.04,100.0,97.2,3,273,206.33333333333334
GC_00001591_aligned.fasta,738,80,77.44089012517385,3.203390584589554,115,87,234,0.121,90.79,100.0,98.06,7,214,71.28571428571429
GC_00001620_aligned.fasta,3231,80,78.05479452054794,2.0293761408417064,306,538,207,0.1675,92.82,100.0,98.31,42,187,45.11904761904762
GC_00001770_aligned.fasta,1098,80,76.1631139944393,5.3042557339932195,203,78,812,0.0723,87.8,100.0,96.66,5,792,181.2
GC_00001355_aligned.fasta,1446,80,75.03503854239663,5.547475874478044,287,8,705,0.0056,84.65,100.0,95.43,3,685,466.6666666666667
GC_00001205_aligned.fasta,1107,80,76.6939338235294,4.078198495620676,209,80,450,0.0735,88.35,100.0,96.63,9,430,97.22222222222223
GC_00000757_aligned.fasta,1077,80,77.28544423440454,5.967670927419499,101,220,128,0.2079,90.25,100.0,97.66,13,108,46.92307692307692
